ID_ESTADO,NOMBRE_ESTADO,CANDIDATO,PARTIDO,VOTOS_X_CANDIDATO,TOTAL_VOTOS,PORCENTAJE,ACTAS_CAPTURADAS,PARTICIPACION,GANADOR
32,ZACATECAS,Maria Guadalupe Medina Padilla,PES,"12,128","643,904",0.0188,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Fernanda Salome Perera Trejo,RSP,"2,498","643,904",0.0039,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Miriam Garcia Zamora,FXM,"10,779","643,904",0.0167,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Claudia Edith Anaya Mota,PAN_PRI_PRD,"246,900","643,904",0.3834,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,David Monreal Avila,MORENA_PT_PVEM_PANAL,"313,784","643,904",0.4873,99.92%,57.05%,MORENA_PT_PVEM_PANAL
24,SAN LUIS POTOSI,CESAR OCTAVIO PEDROZA GAITAN,PAN_PRI_PRD_PARTIDO_CONCIENCIA_POPULAR,"263,095","805,748",0.3265,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,JOSE RICARDO GALLARDO CARDONA,PVEM_PT,"291,216","805,748",0.3614,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,ADRIANA MARVELY COSTANZO RANGEL,MC,"21,157","805,748",0.0263,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,MONICA LILIANA RANGEL MARTINEZ,MORENA,"95,971","805,748",0.1191,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,FRANCISCO JAVIER RICO AVALOS,PANAL,"8,662","805,748",0.0108,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,ADRIAN ESPER CARDENAS,PES,"9,489","805,748",0.0118,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,JOSE LUIS ROMERO CALZADA,RSP,"78,616","805,748",0.0976,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,JUAN CARLOS MACHINENA MORALES,FXM,"3,962","805,748",0.0049,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,JOSE ARTURO SEGOVIA GARCIA,INDEPENDIENTE,"2,804","805,748",0.0035,81.34%,48.20%,PVEM_PT
24,SAN LUIS POTOSI,CANDIDATURA NO REGISTRADA,OTROS,"1,784","805,748",0.0022,81.34%,48.20%,PVEM_PT
2,BAJA CALIFORNIA,Carlos Atilano Peña,PBC,15224,810185,0.0188,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Franciso Alcibiades Garcia Lizardi,MC,18110,810185,0.0224,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Jorge Hank Rhon,PES,"252,141",810185,0.3112,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Victoria Bentley Duarte,RSP,8042,810185,0.0099,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Jorge Francisco Ojeda Garcia,FXM,11244,810185,0.0139,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Maria Guadalupe Jones Garay,PAN_PRI_PRD,"95,578",810185,0.1180,100.00%,38.51%,MORENA_PT_PVEM
2,BAJA CALIFORNIA,Marina Del Pilar Avila Olmeda,MORENA_PT_PVEM,"390,421",810185,0.4819,100.00%,38.51%,MORENA_PT_PVEM
29,TLAXCALA,ANABELL AVALOS ZEMPOALTECA,PAN_PRI_PRD_PAC_PS,"189,575","510,498",0.3714,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,LORENA CUELLAR CISNEROS,PT_PVEM_MORENA_PANAL_ENCUENTRO,"248,142","510,498",0.4861,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,ERENDIRA ELSA CARLOTA JIMENEZ MONTIEL,MC,"11,300","510,498",0.0221,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,EVANGELINA PAREDES ZAMORA,IMPACTO_SOCIAL_SI,"2,976","510,498",0.0058,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,LILIANA BECERRIL ROJAS,PES,"3,879","510,498",0.0076,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,JUAN CARLOS SÁNCHEZ GARCÍA,RSP,"32,049","510,498",0.0628,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
29,TLAXCALA,VIVIANA BARBOSA BONOLA,FXM,"9,581","510,498",0.0188,79.99%,65.65%,PT_PVEM_MORENA_PANAL_ENCUENTRO
12,GUERRERO,Irma Lilia Garzon Bernal,PAN,7085,546206,0.0130,37.00%,53.29%,MORENA
12,GUERRERO,Ruth Zavaleta Salgado,MC,12429,546206,0.0228,37.00%,53.29%,MORENA
12,GUERRERO,Evelyn Cecia Salgado Pineda,MORENA,253143,546206,0.4635,37.00%,53.29%,MORENA
12,GUERRERO,Dolores Huerta Baldovinos,PES,7450,546206,0.0136,37.00%,53.29%,MORENA
12,GUERRERO,Ambrocio Guzman Juarez,RSP,5422,546206,0.0099,37.00%,53.29%,MORENA
12,GUERRERO,Manuel Negrete Arias,FXM,6848,546206,0.0125,37.00%,53.29%,MORENA
12,GUERRERO,Mario Moreno Arcos,PRI_PRD,204645,546206,0.3747,37.00%,53.29%,MORENA
12,GUERRERO,Pedro Segura Balladares,PT_PVME,30833,546206,0.0564,37.00%,53.29%,MORENA
12,GUERRERO,Candidatos no registrados,CANDIDATOS_NO_REGISTRADOS,256,546206,0.0005,37.00%,53.29%,MORENA
12,GUERRERO,Nulos,NULOS,17070,546206,0.0313,37.00%,53.29%,MORENA
8,CHIHUAHUA,GRACIELA ORTIZ GONZALEZ,PRI,79954,1131638,0.0759,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,BRENDA FRANCISCA RIOS PRIETO,PVEM,17188,1131638,0.0152,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,JORGE ALFREDO LOZOYA SANTILLAN,MC,133159,1131638,0.1176,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,LUIS CARLOS ARRIETA LAVENANT,PES,12028,1131638,0.0106,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,MARIA EUGENIA BAEZA GARCIA,RSP,3704,1131638,0.0033,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,ALEJANDRO DIAZ VILLALOBOS,FUERZA SOCIAL POR MEXICO,5894,1131638,0.0052,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,MARIA EUGENIA CAMPOS GALVAN,PAN_PRD,493235,1131638,0.4355,96.05%,46.92%,PAN_PRD
8,CHIHUAHUA,JUAN CARLOS LOERA DE LA ROSA,MORENA_PT_PANAL,357158,1131638,0.3153,96.05%,46.92%,PAN_PRD
